Team,tm1,tm2,Picks Recorded,Win Rate
MAISIE,SPIKE,STU,52,0.586538462
LARRY & LAWRIE,MORTIS,SURGE,51,0.509803922
BUZZ,DYNAMIKE,SURGE,51,0.431372549
DYNAMIKE,GALE,STU,50,0.78
DYNAMIKE,FRANK,SURGE,50,0.6
GRIFF,RICO,STU,50,0.68
BARLEY,GALE,SURGE,50,0.46
KENJI,RICO,SURGE,50,0.44
DYNAMIKE,JESSIE,SURGE,49,0.571428571
NITA,SPIKE,SURGE,49,0.663265306
DYNAMIKE,MAISIE,TARA,49,0.530612245
MORTIS,NITA,SURGE,49,0.510204082
BIBI,COLT,MAISIE,49,0.591836735
FANG,RICO,SURGE,48,0.510416667
DYNAMIKE,RICO,SANDY,48,0.635416667
DYNAMIKE,MAISIE,NITA,48,0.614583333
COLT,SPIKE,STU,48,0.625
COLT,MORTIS,STU,48,0.697916667
JESSIE,MAISIE,SURGE,48,0.479166667
GALE,LARRY & LAWRIE,SURGE,48,0.677083333
FRANK,MAX,STU,48,0.583333333
NITA,SURGE,TARA,48,0.604166667
MORTIS,NITA,RICO,47,0.680851064
FRANK,NITA,SURGE,47,0.553191489
BIBI,COLT,STU,47,0.468085106
CORDELIUS,MAISIE,SURGE,47,0.553191489
BIBI,DYNAMIKE,GALE,47,0.574468085
BIBI,GALE,SURGE,47,0.627659574
COLT,GALE,RICO,47,0.478723404
MORTIS,SURGE,TARA,47,0.5
BIBI,SURGE,TARA,47,0.712765957
NITA,RICO,SPIKE,47,0.521276596
JUJU,RICO,STU,47,0.744680851
COLT,SHELLY,SURGE,46,0.423913043
GALE,MORTIS,RICO,46,0.47826087
CORDELIUS,DYNAMIKE,SURGE,46,0.5
BIBI,COLT,RICO,46,0.630434783
DYNAMIKE,GALE,MORTIS,46,0.369565217
NITA,RICO,SANDY,46,0.619565217
EMZ,RICO,SURGE,46,0.489130435
SHADE,STU,SURGE,46,0.652173913
RICO,SPIKE,STU,46,0.347826087
FRANK,LARRY & LAWRIE,STU,46,0.652173913
BIBI,NITA,SURGE,46,0.456521739
JUJU,MAISIE,STU,46,0.663043478
GALE,SPIKE,STU,46,0.586956522
GALE,MAISIE,SURGE,45,0.644444444
DYNAMIKE,SHADE,SURGE,45,0.455555556
JESSIE,MAISIE,STU,45,0.5
KENJI,MAISIE,SURGE,45,0.666666667
MAISIE,SURGE,TARA,45,0.477777778
DYNAMIKE,STU,TARA,45,0.4
BIBI,SPIKE,SURGE,45,0.688888889
BIBI,STU,TARA,45,0.722222222
MAISIE,RICO,TARA,45,0.511111111
BIBI,DYNAMIKE,SPIKE,44,0.75
FRANK,MORTIS,NITA,44,0.488636364
GRIFF,STU,SURGE,44,0.602272727
JESSIE,MORTIS,SURGE,44,0.488636364
RICO,SANDY,SURGE,44,0.636363636
DARRYL,RICO,SURGE,44,0.534090909
GRIFF,MAISIE,SURGE,44,0.625
DARRYL,DYNAMIKE,SURGE,44,0.579545455
COLETTE,RICO,STU,44,0.545454545
DYNAMIKE,NITA,TARA,44,0.534090909
MOE,STU,SURGE,44,0.545454545
DYNAMIKE,GALE,JESSIE,43,0.488372093
BARLEY,MAISIE,STU,43,0.546511628
BARLEY,NITA,RICO,43,0.581395349
JACKY,RICO,STU,43,0.651162791
BIBI,CORDELIUS,SURGE,43,0.674418605
SANDY,STU,SURGE,43,0.5
BIBI,BUZZ,SURGE,43,0.534883721
GUS,LARRY & LAWRIE,SURGE,43,0.418604651
BUZZ,COLT,SURGE,43,0.651162791
LARRY & LAWRIE,SPIKE,SURGE,43,0.790697674
BUZZ,MAISIE,SURGE,43,0.627906977
MORTIS,RICO,SPIKE,43,0.453488372
GALE,MORTIS,SURGE,43,0.430232558
COLT,JESSIE,SURGE,42,0.428571429
CORDELIUS,NITA,STU,42,0.380952381
JACKY,NITA,STU,42,0.55952381
FRANK,SANDY,SURGE,42,0.75
BIBI,LARRY & LAWRIE,MAISIE,42,0.654761905
BUZZ,NITA,STU,42,0.357142857
BIBI,RICO,SANDY,42,0.523809524
BIBI,MAX,SURGE,42,0.523809524
PENNY,STU,SURGE,42,0.464285714
BARLEY,MAISIE,RICO,42,0.392857143
GALE,LARRY & LAWRIE,RICO,42,0.714285714
JACKY,RICO,SURGE,42,0.571428571
BIBI,RICO,SPIKE,41,0.5
BARLEY,CORDELIUS,SURGE,41,0.56097561
LARRY & LAWRIE,MAISIE,MAX,41,0.56097561
BUZZ,MAISIE,RICO,41,0.524390244
BIBI,NITA,STU,41,0.609756098
COLETTE,STU,SURGE,41,0.402439024
CLANCY,MAISIE,RICO,41,0.548780488
BROCK,RICO,STU,41,0.524390244
FRANK,GUS,STU,41,0.743902439
LARRY & LAWRIE,NITA,SURGE,41,0.5
COLT,DYNAMIKE,SPIKE,41,0.487804878
RICO,SHADE,SURGE,41,0.402439024
GRIFF,MAISIE,STU,41,0.56097561
MAISIE,SHADE,SURGE,40,0.625
GUS,LARRY & LAWRIE,STU,40,0.6125
FRANK,GALE,LARRY & LAWRIE,40,0.55
MAISIE,SANDY,SURGE,40,0.4375
JESSIE,RICO,STU,40,0.575
EDGAR,RICO,STU,40,0.725
BARLEY,RICO,TARA,40,0.4
COLT,MAX,STU,40,0.525
FRANK,RICO,SPIKE,40,0.6125
COLT,DYNAMIKE,GALE,40,0.4875
COLT,LARRY & LAWRIE,STU,40,0.525
CORDELIUS,LARRY & LAWRIE,STU,40,0.6
COLT,FRANK,SURGE,40,0.525
CLANCY,RICO,SURGE,40,0.475
LARRY & LAWRIE,SURGE,TARA,40,0.4625
BARLEY,GALE,RICO,39,0.41025641
DYNAMIKE,GUS,STU,39,0.512820513
DYNAMIKE,PENNY,SURGE,39,0.641025641
COLETTE,MAISIE,RICO,39,0.615384615
BIBI,RICO,TARA,39,0.58974359
COLT,CORDELIUS,STU,39,0.487179487
